Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,24,417,7.4,.534,.673,.183,2.3,7.9,5.0,3.5,1.8,0.5,9.6,12.9,,0.2,0.5,0.7,.079,,-1.9,-1.0,-2.9,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,21,365,5.9,.493,.804,.268,2.8,19.2,10.9,4.9,0.9,0.8,16.9,14.9,,-0.3,0.3,0.1,.007,,-3.5,-0.6,-4.1,-0.2
3,Steven Adams\adamsst01,C,24,OKC,23,728,21.3,.657,.000,.364,16.0,14.3,15.2,4.1,2.0,3.0,14.0,16.5,,2.0,1.1,3.2,.209,,1.8,1.3,3.1,0.9
4,Bam Adebayo\adebaba01,C,20,MIA,17,271,18.1,.654,.000,.525,10.2,17.5,13.9,3.5,2.6,3.6,13.2,14.0,,0.6,0.4,1.1,.187,,-0.8,2.5,1.7,0.3
5,Arron Afflalo\afflaar01,SG,32,ORL,22,300,3.5,.443,.439,.246,1.1,11.6,6.4,4.8,0.2,1.0,11.2,10.3,,-0.2,0.0,-0.1,-0.022,,-4.8,-1.3,-6.0,-0.3
6,Cole Aldrich\aldrico01,C,29,MIN,5,10,0.8,.174,.000,1.000,0.0,11.8,5.8,12.2,5.0,0.0,0.0,12.7,,0.0,0.0,0.0,-0.074,,-7.8,1.4,-6.4,0.0
7,LaMarcus Aldridge\aldrila01,PF,32,SAS,27,907,24.9,.568,.091,.312,11.1,16.5,13.8,12.0,0.8,2.9,7.1,28.7,,2.9,1.3,4.2,.221,,3.2,-0.2,3.0,1.2
8,Jarrett Allen\allenja01,C,19,BRK,18,299,15.4,.594,.029,.362,8.9,14.7,11.8,4.4,1.6,4.6,9.1,12.3,,0.5,0.4,0.9,.147,,-1.4,2.7,1.3,0.3
9,Kadeem Allen\allenka01,SG,25,BOS,1,5,-3.3,.266,1.000,2.000,22.5,21.4,21.9,0.0,0.0,0.0,34.7,25.8,,0.0,0.0,0.0,-0.277,,-12.8,-7.8,-20.5,0.0
10,Tony Allen\allento01,SG,36,NOP,22,273,8.9,.514,.132,.231,8.4,10.7,9.6,4.7,1.9,0.9,15.9,19.0,,-0.1,0.2,0.1,.009,,-3.8,-1.7,-5.5,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,13,382,13.9,.607,.583,.146,5.2,20.9,13.1,6.6,1.0,2.5,12.8,13.4,,0.6,0.6,1.1,.143,,0.3,1.8,2.1,0.4
12,Justin Anderson\anderju01,SF,24,PHI,10,126,9.6,.489,.542,.146,8.6,13.9,11.3,3.5,1.1,0.7,7.3,18.2,,0.1,0.1,0.2,.064,,-1.7,-3.0,-4.7,-0.1
13,Kyle Anderson\anderky01,SF,24,SAS,23,631,16.7,.569,.071,.340,5.5,18.8,12.1,16.7,2.2,2.5,14.3,14.9,,1.0,1.1,2.1,.161,,-0.1,3.3,3.2,0.8
14,Ryan Anderson\anderry01,PF,29,HOU,24,682,13.9,.638,.761,.127,5.2,15.7,10.5,3.7,0.5,1.1,8.9,15.7,,1.4,0.6,2.0,.141,,1.9,-1.5,0.5,0.4
15,Ike Anigbogu\anigbik01,C,19,IND,6,17,5.2,.340,.000,.400,13.4,12.9,13.1,0.0,2.9,4.9,25.4,20.3,,-0.1,0.0,0.0,-0.111,,-11.1,-1.0,-12.1,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,24,900,31.2,.614,.083,.488,6.5,26.6,16.5,23.3,2.3,3.9,10.9,33.5,,3.5,1.4,4.9,.261,,5.6,1.9,7.5,2.2
17,Carmelo Anthony\anthoca01,SF,33,OKC,25,820,14.5,.503,.372,.224,2.6,20.3,11.1,8.4,1.3,2.1,7.9,25.5,,0.4,1.2,1.6,.096,,-1.8,-0.9,-2.8,-0.2
18,OG Anunoby\anunoog01,SF,20,TOR,25,507,11.5,.622,.545,.179,3.7,7.3,5.6,5.4,2.1,0.2,9.5,12.8,,0.8,0.5,1.3,.120,,1.8,0.0,1.8,0.5
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,5,-13.3,.000,1.000,.000,0.0,0.0,0.0,26.1,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,-0.367,,-12.5,-10.0,-22.6,0.0
